window_size,price_volume,price_occurrences,occurrences_volume,occurrences_occurrences,price_price,volume_volume,price_volume_coeff,price_occurrences_coeff,occurrences_volume_coeff,occurrences_occurrences_coeff,price_price_coeff,volume_volume_coeff,null_hyp
3,0.22558942099148002,0.13863557143667576,0.4679757907922326,1.0,1.0,1.0000000000000002,8.470263692999051e-7,7.580594238243746e-7,6.606103153369787e-5,0.00020557596470108694,1.4544031665870093e-7,9.693298595507099e-5,0.091
4,0.23261889847681091,0.14092561989741614,0.4893534839923383,1.0,1.0,0.9999999999999998,2.8823166677397142e-6,2.4596862954565324e-6,0.0002078753917585983,0.0005983750341624507,5.091034848257381e-7,0.0003015694380875182,0.091
5,0.23937793616871247,0.1449386954135388,0.5058747945884151,1.0000000000000002,0.9999999999999998,1.0,6.423548128293113e-6,5.35528059456924e-6,0.00043312884666612546,0.0011789111817435915,1.1580163179643148e-6,0.0006218233826663595,0.096
6,0.24354846373219122,0.14946709003859227,0.5202653159456656,0.9999999999999998,1.0,0.9999999999999998,1.1686252602356397e-5,9.724587931346298e-6,0.0007497500545149935,0.0019540127136137833,2.1663262961134575e-6,0.0010628106034648703,0.1
7,0.24476969956352732,0.1536330164154415,0.5330416206209353,1.0000000000000002,1.0,1.0000000000000002,1.8825699808583874e-5,1.5860129787067524e-5,0.001166142017706287,0.002936425779385576,3.629320573713512e-6,0.0016299024713065614,0.105
8,0.24390676774615191,0.15693680166833085,0.5441129281577086,1.0,1.0,1.0,2.7948330797078546e-5,2.3977971897670312e-5,0.0016871581387112836,0.0041344940543665025,5.646156697066172e-6,0.002325472033775119,0.109
9,0.24212557886633143,0.15975097325569496,0.5531862464210233,1.0,1.0,1.0,3.910834254186715e-5,3.427015868635137e-5,0.0023065458894492097,0.0055377658633022075,8.310183536283797e-6,0.0031394014982956743,0.114
10,0.23987714954290007,0.1623423441053437,0.5607552791410253,0.9999999999999999,1.0,1.0,5.228539828662974e-5,4.691545775687372e-5,0.003017846957949151,0.007135369134939316,1.170447250177185e-5,0.004059113888001526,0.118
11,0.2374837522298964,0.16460147335517936,0.56726559349214,1.0,1.0,1.0,6.747532283431066e-5,6.201081639121514e-5,0.0038177002307819593,0.0089235578401127,1.590484417250829e-5,0.005075662300972522,0.123
12,0.23514885183182493,0.16640959319849505,0.5728488077599816,1.0,0.9999999999999999,1.0,8.468777162896724e-5,7.956793522719848e-5,0.004702078739754433,0.010897622768478775,2.0979140356133593e-5,0.00618255512669026,0.128
