window_size,price_volume,price_occurrences,occurrences_volume,occurrences_occurrences,price_price,volume_volume,price_volume_coeff,price_occurrences_coeff,occurrences_volume_coeff,occurrences_occurrences_coeff,price_price_coeff,volume_volume_coeff,null_hyp
3,0.18823412895802213,0.16944138367814793,0.7024266964096645,1.0,1.0,1.0000000000000002,1.3550964973249924e-6,1.3049548812703955e-6,6.7541934838398e-5,0.00010286713432547081,5.76600975088251e-7,8.988109104110707e-5,0.091
4,0.18564513313445188,0.18389099467098952,0.7090244216234427,1.0,1.0,1.0,4.36493937885019e-6,4.590945144080589e-6,0.00020874071234643277,0.00031260286953102177,1.9938400847596323e-6,0.0002772675044512687,0.091
5,0.17430839225126057,0.1877778974404034,0.7088090652783834,0.9999999999999998,1.0000000000000002,1.0,8.937250929580675e-6,1.0169620447716344e-5,0.0004228717281292948,0.000630164603619156,4.654430392696264e-6,0.0005648131108688739,0.096
6,0.1622629524879091,0.19135446252023777,0.7072484842953899,1.0000000000000002,1.0,1.0,1.5098339213194396e-5,1.875339584422317e-5,0.0007102780206033427,0.0010577617831970115,9.08018673823043e-6,0.0009535090704555696,0.1
7,0.15408288291111144,0.1974264278635226,0.7052368239908055,0.9999999999999999,1.0,0.9999999999999999,2.332437406646799e-5,3.147209005956286e-5,0.0010742406666924959,0.001604099500368744,1.584197383894462e-5,0.0014464449607088572,0.105
8,0.14996323675417728,0.20559222273223884,0.7036430494413825,0.9999999999999998,1.0000000000000002,1.0,3.425082806289702e-5,4.9544998711864746e-5,0.0015183909767994682,0.0022768691964720617,2.5506343112800487e-5,0.00204514612067608,0.109
9,0.14883608562147602,0.21484859215779284,0.7020928629341939,1.0,1.0,0.9999999999999999,4.8428621571323374e-5,7.403505526603597e-5,0.0020390897854763775,0.0030757626246164767,3.860619234729238e-5,0.002742399786374863,0.114
10,0.14961252390711394,0.22420507358289685,0.7004182528531127,0.9999999999999998,1.0,1.0,6.631761249965861e-5,0.00010572797731785388,0.002632512137939284,0.00399849430081606,5.561507074953171e-5,0.003532883958388197,0.118
11,0.1515726662388019,0.23304880338275646,0.6986516465956348,0.9999999999999998,1.0,1.0,8.834967855472702e-5,0.0001451918969571806,0.003297124499187023,0.005044127758367636,7.694934479045439e-5,0.004415330740533612,0.123
12,0.15422031167386138,0.24103708151357064,0.6968099160105922,0.9999999999999999,1.0000000000000002,1.0,0.00011489892424977277,0.00019276629160442827,0.004031743852435094,0.006210855945493085,0.00010297765748088564,0.005390210973680467,0.128
14,0.15824243771710564,0.24952569532223967,0.6940313237930831,1.0000000000000002,1.0,0.9999999999999999,0.00015121612035400516,0.0002569414285620347,0.004899568962507007,0.007607159740062851,0.00013938472544831166,0.006551414382736393,0.137
15,0.16184704315740328,0.2562869577803986,0.6912711144404348,1.0,1.0,1.0000000000000002,0.00019259642931703197,0.0003294871836869465,0.005829635911816787,0.009110906311553405,0.00018141051650379873,0.007805926603675252,0.142
17,0.16558711108013124,0.26268638298056773,0.6873284250269922,1.0000000000000002,1.0,1.0,0.0002442808753806482,0.0004191690969474381,0.006874727344774652,0.010818820908257979,0.00023535501733926357,0.009247033171831948,0.151
19,0.16917012981916368,0.2688639840373724,0.6821240749378025,1.0,0.9999999999999998,1.0,0.000306569023344437,0.0005270168958543627,0.008026293375559752,0.012727378895726622,0.0003018873009274783,0.01087838264377802,0.159
21,0.17259217833541954,0.2751490230692952,0.6759451720742194,1.0,1.0,1.0,0.0003800420809101071,0.000654778371213256,0.009287151424763877,0.014848645162721797,0.0003813869873404311,0.01271321183092343,0.167
23,0.17596040882728864,0.28181589190222944,0.6692116421863713,1.0,1.0,0.9999999999999999,0.0004655353999288143,0.0008045844207704278,0.010663386336990167,0.01719491554423007,0.00047403698958205074,0.014766013654023986,0.175
26,0.17983966649184882,0.29030876839873343,0.6614180352078354,1.0000000000000002,0.9999999999999998,1.0,0.0005707561091025925,0.0009919533790318405,0.012225581458008677,0.01990029518669648,0.0005866819099881851,0.01716830670312049,0.186
29,0.18417287187078527,0.30059335934834724,0.6531970924304166,0.9999999999999999,1.0,1.0,0.0006979496699855249,0.0012229979535412958,0.013989378233874169,0.02299334056414463,0.0007199305859170509,0.01994831728522214,0.198
32,0.18895383387473194,0.3126914819628497,0.6451755235806237,1.0,1.0000000000000002,1.0000000000000002,0.0008499754981757383,0.001506313326015271,0.015975922352394076,0.0265177472607715,0.0008751085113336052,0.023122750295090876,0.21
36,0.19470133117146124,0.32801193491118924,0.6377198574292811,1.0000000000000002,1.0000000000000002,1.0000000000000002,0.0010397793726153644,0.0018736380958223992,0.018309434829195417,0.030709219865463842,0.001062486303629701,0.02684239192380601,0.222
40,0.2007906889034636,0.34535439455563194,0.6314627674834808,1.0,1.0000000000000002,1.0,0.0012705016707786048,0.002339203224094502,0.021046885733668745,0.03567889463262601,0.0012858625363825476,0.031136428697052288,0.233
45,0.20717320864063593,0.3651447823904537,0.6267509361837357,0.9999999999999999,0.9999999999999999,1.0,0.0015570145326948201,0.0029485365909882153,0.02437741337461802,0.04179025094584154,0.001560299127689029,0.03620014265413921,0.247
50,0.2134476304653571,0.38589048674024007,0.6238021916056337,1.0000000000000002,1.0,1.0000000000000002,0.001905155041746272,0.0037253865683522253,0.02839660320455228,0.04923656906731674,0.0018928960369683104,0.042087314077215096,0.262
56,0.2196349117793528,0.40751446840649813,0.6225983595240075,0.9999999999999999,1.0000000000000002,1.0,0.002334851758186939,0.004732502948471999,0.03334379210924376,0.058505532986846645,0.0023051478251926863,0.04902494272234016,0.279
