window_size,price_volume,price_occurrences,occurrences_volume,occurrences_occurrences,price_price,volume_volume,price_volume_coeff,price_occurrences_coeff,occurrences_volume_coeff,occurrences_occurrences_coeff,price_price_coeff,volume_volume_coeff,null_hyp
3,0.11864414984190469,0.11713732627819247,0.5974611524250196,0.9999999999999999,1.0,1.0000000000000002,1.987509971966701e-6,1.5863166428186643e-6,6.973823362466049e-5,9.436107003849025e-5,1.9435525634200694e-6,0.0001443875291794584,0.064
4,0.10793476167567885,0.12403955245249458,0.6223167506488313,1.0,1.0000000000000002,1.0000000000000002,6.224206469859242e-6,5.771317587708366e-6,0.00023236403112968584,0.0003012655971826243,7.185881075600997e-6,0.00046277009041422666,0.064
5,0.1020665266855147,0.1292558591350417,0.6397581284539902,1.0,1.0,0.9999999999999998,1.3342268681920015e-5,1.3657923844605984e-5,0.0005068591169335921,0.0006404121342623349,1.7434493867792476e-5,0.0009801292453972268,0.067
6,0.09665335533650528,0.13228616487882514,0.651443270907219,0.9999999999999998,1.0,0.9999999999999999,2.3542898279843364e-5,2.6161746271511095e-5,0.0009069753379886051,0.0011303896909731427,3.460002548296768e-5,0.0017147845554303202,0.07
7,0.0925881298749664,0.13521440493500506,0.6592139149337144,0.9999999999999999,1.0,0.9999999999999999,3.738006252506707e-5,4.461671873990944e-5,0.001442704003778605,0.001788713670506784,6.087072953180662e-5,0.002677693817519895,0.074
8,0.09042199785454508,0.13895649849215264,0.6641982666802918,1.0,0.9999999999999999,1.0000000000000002,5.589068911718355e-5,7.073575918250489e-5,0.0021195086321265876,0.0026280416445263054,9.860253290209016e-5,0.0038747408433351116,0.077
9,0.09056024553647672,0.14400688811747708,0.6673459938624577,1.0,1.0,0.9999999999999999,8.078007268518262e-5,0.00010666727071105695,0.002934508094567481,0.0036514513870423725,0.00015025547695483957,0.005295451382114403,0.08
10,0.09297347060979205,0.15034530050489775,0.6694023893170583,1.0,0.9999999999999999,0.9999999999999999,0.0001143014380044227,0.00015483257263564242,0.003883073117350784,0.004859237558913198,0.00021826133812957027,0.006924819996141205,0.084
11,0.09734349260362934,0.15775232303561265,0.6709363140461169,1.0,1.0,1.0000000000000002,0.0001590122143106078,0.00021780670859910633,0.004963618292655002,0.006253008309566205,0.00030486107166913625,0.008752762616187076,0.087
13,0.10709328896475973,0.17006358462977286,0.6727538248544828,1.0,1.0,0.9999999999999999,0.00023373187281264555,0.0003175698114153343,0.006314281631419149,0.008030451669153376,0.00043422596767847115,0.010969720777990691,0.094
15,0.12058291382763252,0.18485588971502517,0.6750190633771179,0.9999999999999998,0.9999999999999998,1.0,0.00034768193292392504,0.00046222267808315937,0.007951880587565293,0.010215871456549497,0.0006120127852294424,0.013584141715175704,0.101
16,0.13250292227714078,0.1970287644920533,0.6770772985741627,1.0000000000000002,1.0,1.0,0.0004845953959742823,0.0006318995810977716,0.009739334500999028,0.012614081584391014,0.0008154197597146154,0.01640311852728841,0.104
18,0.14672800460113306,0.21024056370190566,0.6794541243494314,1.0000000000000002,0.9999999999999998,1.0000000000000002,0.000673206492303808,0.0008555832450384995,0.011835450449311743,0.015450236336781187,0.0010719052316968624,0.019638765193796034,0.109
21,0.16481562246047787,0.22551075965190534,0.6824758484326449,1.0,1.0000000000000002,1.0,0.000949577925772695,0.0011670461089214638,0.014415680271768098,0.018973015699266682,0.001411578802517957,0.02351577751322638,0.117
24,0.18416062926069876,0.2405990052275335,0.6857101218310584,1.0,1.0000000000000002,1.0000000000000002,0.0013226393466679806,0.0015718269291455555,0.01749545893544475,0.023208711431592526,0.0018389535794583146,0.028049074078700553,0.125
27,0.20314287058533936,0.2544473675910126,0.6886571773045016,1.0,1.0,1.0,0.0017997045752272144,0.002074539454678763,0.021072025900718987,0.028159654005206265,0.002360587803957557,0.03324904013689246,0.133
30,0.22076573191026427,0.2666818821170688,0.6910961597201752,1.0000000000000002,1.0,1.0000000000000002,0.0023859167635564694,0.0026796586565189357,0.025141668416693744,0.033823453748442395,0.002985066266667506,0.039128507036559436,0.141
34,0.23765749519765877,0.27803047747533444,0.6928725106387731,1.0,1.0,1.0000000000000002,0.003123129303164721,0.0034285096633503848,0.02986066448188859,0.040440885759194474,0.003760150998527689,0.045927373936246275,0.15
38,0.2531215262441985,0.2882121921090166,0.693686086453155,0.9999999999999999,1.0,1.0000000000000002,0.004019007156947536,0.004329688832922192,0.03521252037953685,0.048027365602216945,0.004698940094710502,0.053651206134248876,0.158
43,0.26779482928132875,0.2975931145565332,0.6932096031387694,1.0000000000000002,1.0,1.0000000000000002,0.005127367105497721,0.005432511910791092,0.04134105867707237,0.056859443710028996,0.0058607474951660925,0.0625505943590893,0.167
49,0.28178465175358347,0.3062240244574933,0.691159120169814,1.0,0.9999999999999999,1.0000000000000002,0.006507755732030477,0.00679362305804818,0.04838020277271221,0.06724158141106742,0.007319584936337354,0.07286875736042198,0.179
55,0.29397504306122985,0.3134838516455373,0.6876405476836105,1.0000000000000002,1.0,1.0000000000000002,0.008156455325145423,0.008416109108863645,0.056278244605216354,0.07919253570731212,0.009101398224401504,0.08458120756830241,0.191
62,0.3036783007119882,0.31887659608531166,0.6827665850434615,0.9999999999999999,0.9999999999999999,1.0,0.01009508193141371,0.010332082596257714,0.06513625477184024,0.09298644874486284,0.011290437890013504,0.09787716664647592,0.204
70,0.30993511619882175,0.32156588105128336,0.6772708173014558,1.0000000000000002,1.0,0.9999999999999999,0.012321305070059223,0.012552352446616068,0.0751407521685266,0.10893875611836629,0.013987107482094191,0.11299102240418268,0.217
79,0.31131433846149986,0.3202423317102833,0.672057916870201,1.0,1.0000000000000002,1.0,0.0147818308475132,0.015044864841493784,0.08657044363514027,0.1274510414159435,0.01731712189999769,0.130191459233979,0.231
89,0.30731872340924193,0.31432302448265786,0.6679782245581232,1.0,1.0000000000000002,0.9999999999999998,0.01742119264801785,0.01777447387176818,0.0998219211355495,0.1490717382542769,0.021450914101109664,0.1498069361464137,0.246
101,0.29807334820468917,0.30392081453713526,0.665671288602069,1.0,1.0000000000000002,1.0,0.020229333921538563,0.020759273413332766,0.11553898659209086,0.17468756672639005,0.026708002813402913,0.172454869313235,0.265
