pic_name,bool_value,bool_gme,bool_gamestop,bool_investing,value_screenshot
c455tny1gm361,False,True,False,True,4242.0
9g34mibcfcc61,False,False,False,True,13011.0
bdmatx661we61,False,True,True,False,370101.0
6cm33rwajjb61,False,False,False,True,1273.0
vtqk96gnxre61,True,True,False,False,4680.0
3j4ptboxxte61,False,True,True,False,9000.0
w3gjc7i1azd61,True,False,False,False,122224.0
vblm26x08xe61,True,True,False,False,2418.0
gyhg049wlwd61,False,True,False,False,90000.0
v7nhkgcecef61,False,True,True,True,700.0
w20lqlihahf61,False,True,True,False,6065.0
cs5jz1cu7k861,True,False,False,False,15792.0
m2odozzfphd61,True,False,False,False,1366.0
l9xur9y906e61,False,False,False,True,48223.0
2iaxm77ju2f61,True,True,True,False,350.0
hmnAq5A,True,True,True,False,1015.0
els8r6hpwwd61,True,True,False,False,645.0
r3nu15eqgbe61,False,True,False,False,316.0
ld3zy1mddlc61,True,False,False,False,11428.0
6vo7h3fbh2f61,True,True,False,False,384.0
zgm701dl37e61,False,True,False,False,12864.0
ti3pnx6ny9f61,True,True,False,False,1049.0
030v4x5obbf61,False,True,True,False,102.0
3qvrv3snhy961,True,False,False,False,822.0
0xe81tcfkzd61,True,True,False,False,345.0
rreb4u58gv261,False,False,False,True,7133.0
jatdsdgnw1161,False,False,False,True,229730.0
rsv9pnpa5hf61,True,True,False,False,204.0
l6X7uKK,True,False,False,False,868.0
8wkjnpjvz2f61,True,True,False,False,9376.0
12s3padk83f61,True,False,False,False,46027.0
d7TLPu3,False,True,True,False,452.0
0orcvkgalse61,True,True,False,False,5405.0
37ag4u4nj4f61,True,False,False,False,1180.0
h50frp90lhe61,False,False,True,False,328.0
bej7vb3heue61,True,False,False,False,600.0
7rpq3ckhf0661,False,False,False,True,3835.0
6a510iqx93f61,True,True,True,False,62277.0
22o4tttvkbb61,False,False,False,True,584.0
0tqtxfr6fae61,False,True,False,True,12729.0
v67g004atme61,False,True,True,False,3127.0
njhlwrdq9xe61,True,True,False,False,2372.0
z1h5yrj3mhf61,False,True,False,False,260253.0
pxedezi1iza61,False,False,False,True,10922.0
jrupcka8hya61,False,False,False,True,159337.0
85f2sv50h3e61,False,False,False,True,6262.0
LoR8V2H,False,True,True,False,100.0
an9o8ab9yve61,True,True,True,False,2077.0
c7u0xsnzz1e61,False,False,True,False,420.0
55fjzmkkqve61,False,False,True,False,299.0
7h0whrsrhe261,False,False,False,True,1075.0
yh1qa4z8ehf61,False,True,True,False,3854.0
us7hgqrwuxe61,False,True,False,False,806.0
0c3fz3i3yae61,False,True,False,False,381.0
i6507x05ksc61,True,True,False,False,17419.0
k5qzks4t02e61,False,True,True,True,400.0
c6nkqovvv2e61,True,False,False,False,168.0
